ID_Requisicao;Tipo_Suprimento;Pacote_Insumo_Equipamento;Centro_Custo_CC;Disciplina;EAP_Itens;Data_Disparo;Data_Canteiro;Lead_Time_Dias;Estagio_Pipeline;Responsavel;Semaforo;Budget_R$
RE-006/2026;EQUIPAMENTO;Retroescavadeira 4x4 cabinada c/ operador;CC-201;Equipamentos/Canteiro;1.1.1, 1.1.2;12/09/2026;19/09/2026;7;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;14000.00
RE-007/2026;EQUIPAMENTO;Caminhão Basculante 6x4 (12m³) c/ motorista;CC-201;Equipamentos/Canteiro;1.1.1, 1.1.2;12/09/2026;19/09/2026;7;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;10500.00
RE-008/2026;EQUIPAMENTO;Compactador de Percussão a gasolina (Sapo);CC-201;Equipamentos/Canteiro;1.1.2;15/09/2026;20/09/2026;5;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;1450.00
RE-009/2026;EQUIPAMENTO;Betoneira Elétrica 400 Litros Trifásica;CC-404;Equipamentos/Canteiro;1.3.3;15/09/2026;22/09/2026;5;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;3000.00
RE-010/2026;EQUIPAMENTO;Cimbramento e Escoramento Metálico Regulável;CC-302;Equipamentos/Canteiro;1.2.4, 1.2.6;05/10/2026;25/10/2026;20;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;14850.00
RE-011/2026;EQUIPAMENTO;Andaimes Tubulares Fachadeiros c/ Guarda-Corpo (200 m²);CC-403;Equipamentos/Canteiro;1.3.4;05/11/2026;20/11/2026;15;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;9600.00
RE-012/2026;EQUIPAMENTO;Máquina de Projeção Contínua de Argamassa;CC-405;Equipamentos/Canteiro;1.5.2;25/11/2026;10/12/2026;15;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;5200.00
RE-013/2026;EQUIPAMENTO;Bomba Hidrostática de Teste de Pressão c/ Manômetro RBC;CC-601;Equipamentos/Canteiro;2.1.6;01/12/2026;12/12/2026;10;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;1200.00
RE-014/2026;EQUIPAMENTO;Plataforma Elevatória Tesoura Elétrica 10m;CC-607;Equipamentos/Canteiro;2.2.7, 2.3.1;20/12/2026;10/01/2027;20;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;12200.00
RE-015/2026;EQUIPAMENTO;Bomba de Vácuo Duplo Estágio 10 CFM + Manifold Digital;CC-608;Equipamentos/Canteiro;2.3.4;10/01/2027;22/01/2027;10;0. PLANEJADO_FUTURO;Suprimentos / Locações;⚪ PLANEJADO;1800.00
RE-016/2026;EQUIPAMENTO;Caçambas Estacionárias de Entulho 5m³ (PGRCC) c/ CTR;CC-106;Equipamentos/Canteiro;1.0.6;10/09/2026;18/09/2026;5;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;10000.00
RE-017/2026;EQUIPAMENTO;Grupo Gerador Diesel Silenciado 50 kVA c/ QTA;CC-104;Equipamentos/Canteiro;1.0.4;10/09/2026;18/09/2026;10;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;19800.00
