ID_RC;Pacote_Insumo;Centro_Custo_CC;Disciplina;EAP_Itens;Data_Emissao_Obra;Data_Necessidade_Canteiro;Lead_Time_Dias;Estagio_Pipeline;Responsavel_Atual;Proxima_Acao_Gargalo;Semaforo_Risco;Budget_Custo_Direto_R$
RC-011/2026;Locação de Andaimes Tubulares Fachadeiros c/ Guarda-Corpo;CC-403;Alvenaria e Fachada;1.3.4;08/11/2026;25/11/2026;17;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (08/11/2026);⚪ PLANEJADO;7400.00
RC-012/2026;Telhas Termoacústicas Sandwich PIR e Calhas Metálicas Galvanizadas;CC-501;Cobertura e Envoltória;1.4.1, 1.4.2, 1.4.3;15/10/2026;28/11/2026;44;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (15/10/2026);⚪ PLANEJADO;48900.00
RC-013/2026;Tubulações e Conexões PVC Rígido Água Fria e Esgoto Predial;CC-601;Instalações Hidrossanitárias;2.1.1, 2.1.2, 2.1.3;20/11/2026;15/12/2026;25;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (20/11/2026);⚪ PLANEJADO;16800.00
RC-014/2026;Eletrodutos Rígidos Roscáveis, Caixas 4x2 e Caixas de Passagem;CC-604;Instalações Elétricas;2.2.1, 2.2.2;25/11/2026;18/12/2026;23;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (25/11/2026);⚪ PLANEJADO;9750.00
RC-015/2026;Argamassa Industrializada de Projeção para Emboço Paulista;CC-405;Revestimentos de Parede;1.5.1, 1.5.2;01/12/2026;20/12/2026;19;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (01/12/2026);⚪ PLANEJADO;12800.00
RC-016/2026;Esquadrias de Alumínio Anodizado Preto e Vidros Temperados;CC-702;Esquadrias e Vidros;1.6.1 a 1.6.4;01/11/2026;10/01/2027;70;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (01/11/2026);⚪ PLANEJADO;58400.00
RC-017/2026;Porcelanato Esmaltado Retificado 60x60cm e Argamassa AC-III;CC-704;Pisos e Pavimentações;1.7.1, 1.7.2;10/12/2026;15/01/2027;36;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (10/12/2026);⚪ PLANEJADO;35200.00
RC-018/2026;Kits Porta Pronta de Madeira Melamínica com Fechaduras Inox;CC-701;Esquadrias de Madeira;1.6.5;05/12/2026;20/01/2027;46;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (05/12/2026);⚪ PLANEJADO;17800.00
RC-019/2026;Cabos Elétricos de Cobre Flexível 750V / 1kV (1,5 a 50 mm²);CC-605;Instalações Elétricas;2.2.3, 2.2.4;05/01/2027;25/01/2027;20;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (05/01/2027);⚪ PLANEJADO;31200.00
RC-020/2026;Quadros QDG/QDF, Disjuntores DIN, DPS, Tomadas e Interruptores;CC-606;Instalações Elétricas;2.2.5, 2.2.6;10/01/2027;28/01/2027;18;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (10/01/2027);⚪ PLANEJADO;15900.00
RC-021/2026;Louças Sanitárias, Cubas de Inox e Metais com Sensor/Pressômetro;CC-603;Instalações Hidrossanitárias;2.1.4, 2.1.5;20/01/2027;15/02/2027;26;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (20/01/2027);⚪ PLANEJADO;23400.00
RC-022/2026;Aparelhos de Ar-Condicionado Split Inverter (12k a 24k BTU) e Tubulação;CC-608;Climatização HVAC;2.3.1, 2.3.2;05/01/2027;20/02/2027;46;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (05/01/2027);⚪ PLANEJADO;38900.00
RC-023/2026;Tintas Acrílicas Laváveis Premium, Selador Acrílico e Massa PVA;CC-706;Pintura e Acabamentos;1.8.1, 1.8.2;25/01/2027;18/02/2027;24;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (25/01/2027);⚪ PLANEJADO;14200.00
RC-024/2026;Limpeza Fina Pós-Obra, Testes Globais e Desmobilização Geral;CC-105;Entrega e Comissionamento;1.9.1, 1.9.2;05/02/2027;25/02/2027;20;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (05/02/2027);⚪ PLANEJADO;9400.00
